Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Customer_Segment,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Profit,Total_Sales
ORD000022,2023-07-24,CUST0344,John Smith,East,Corporate,Food & Beverage,Juice,2,209.61,0.0,77.36,419.22
ORD000023,2023-10-29,CUST0284,Jacob Benton,South,Home Office,Furniture,Chair,2,570.66,0.0,179.46,1141.32
ORD000024,2023-01-17,CUST0441,Alexander Jones,East,Consumer,Food & Beverage,Snacks,5,540.15,0.0,634.16,2700.75
ORD000025,2023-10-20,CUST0296,Stefanie Simon,West,Consumer,Clothing,Shoes,4,89.05,0.15,62.9,302.77
ORD000026,2023-08-05,CUST0211,Jeremiah Watson,West,Home Office,Electronics,Tablet,11,787.57,0.0,997.6,8663.27
ORD000027,2023-06-23,CUST0410,Bernard Carpenter,North,Consumer,Furniture,Desk,9,367.16,0.05,457.92,3139.22
ORD000028,2023-08-25,CUST0128,James English,North,Corporate,Food & Beverage,Coffee,1,526.93,0.1,146.54,474.24
ORD000029,2023-02-17,CUST0475,Robert Norton,South,Consumer,Clothing,Shoes,8,182.79,0.05,452.34,1389.2
ORD000030,2023-03-26,CUST0195,Jasmin Jones,North,Corporate,Office Supplies,Paper,5,347.06,0.15,514.57,1475.01
ORD000031,2023-10-12,CUST0339,Kevin Graham,West,Consumer,Furniture,Cabinet,4,775.44,0.1,792.63,2791.58
ORD000032,2023-02-01,CUST0383,Megan Wright,East,Consumer,Electronics,Headphones,8,409.74,0.1,411.12,2950.13
ORD000033,2023-09-18,CUST0042,Dale Harvey,South,Consumer,Food & Beverage,Coffee,11,691.53,0.05,939.24,7226.49
ORD000034,2023-10-19,CUST0127,Jeffrey Kennedy,Central,Home Office,Electronics,Headphones,2,344.09,0.1,149.46,619.36
ORD000035,2023-06-11,CUST0479,Arthur Tanner,East,Consumer,Office Supplies,Notebook,5,325.69,0.15,361.79,1384.18
ORD000036,2023-08-23,CUST0162,Michael Copeland,North,Consumer,Clothing,Hat,10,796.94,0.0,1868.1,7969.4
ORD000037,2023-09-17,CUST0136,Victor Glass,South,Corporate,Electronics,Mouse,6,238.72,0.05,419.69,1360.7
ORD000038,2023-12-27,CUST0155,Taylor Morrow,Central,Home Office,Food & Beverage,Coffee,11,656.43,0.0,2404.06,7220.73
ORD000039,2023-02-23,CUST0481,Madison Jackson,South,Corporate,Electronics,Laptop,12,449.28,0.0,918.9,5391.36
ORD000040,2023-04-18,CUST0368,Sarah Medina,East,Consumer,Office Supplies,Binder,8,212.13,0.0,208.86,1697.04
ORD000041,2023-08-05,CUST0425,Dylan Murphy,East,Consumer,Electronics,Keyboard,13,117.69,0.0,214.8,1529.97
ORD000042,2023-08-15,CUST0283,Travis Chavez,West,Home Office,Electronics,Laptop,2,756.86,0.15,419.43,1286.66
ORD000043,2023-10-07,CUST0019,Dale Johnson,East,Home Office,Food & Beverage,Snacks,7,115.04,0.0,153.94,805.28
ORD000044,2023-01-21,CUST0461,Dennis Hogan,East,Consumer,Furniture,Bookshelf,2,292.64,0.1,169.1,526.75
ORD000045,2023-07-28,CUST0499,Eric Edwards,Central,Home Office,Furniture,Desk,14,142.56,0.0,639.38,1995.84
ORD000046,2023-01-13,CUST0092,Christian Diaz,East,Corporate,Furniture,Cabinet,3,633.09,0.0,371.56,1899.27
ORD000047,2023-01-20,CUST0440,Barbara Long,West,Consumer,Furniture,Sofa,6,254.57,0.0,237.87,1527.42
ORD000048,2023-12-04,CUST0099,Holly Farmer,West,Corporate,Office Supplies,Pen,13,234.11,0.15,588.14,2586.92
ORD000049,2023-12-14,CUST0432,Christopher Jones,Central,Corporate,Electronics,Laptop,15,776.76,0.0,2856.31,11651.4
ORD000050,2023-05-16,CUST0020,Latasha Morales,North,Home Office,Clothing,Jacket,12,632.35,0.05,1813.39,7208.79
ORD000051,2023-09-19,CUST0060,Anita Singh,West,Home Office,Furniture,Cabinet,1,571.4,0.0,131.41,571.4
ORD000052,2023-10-03,CUST0352,Sabrina Daniel,South,Corporate,Clothing,Shirt,11,737.81,0.1,1303.67,7304.32
ORD000053,2023-03-05,CUST0369,Ashley Taylor,East,Home Office,Office Supplies,Folder,7,271.05,0.15,280.48,1612.75
ORD000054,2023-03-07,CUST0099,Holly Farmer,West,Home Office,Clothing,Tie,12,723.7,0.1,1893.62,7815.96
ORD000055,2023-07-27,CUST0281,Victoria Hopkins,North,Corporate,Office Supplies,Notebook,7,631.82,0.1,1049.56,3980.47
ORD000056,2023-08-27,CUST0227,Cindy Ward,West,Home Office,Furniture,Table,8,638.08,0.15,617.96,4338.94
ORD000057,2023-02-13,CUST0146,Lori Potts,Central,Home Office,Food & Beverage,Water,2,657.46,0.0,352.66,1314.92
ORD000058,2023-04-26,CUST0413,Vincent Reese,South,Consumer,Electronics,Laptop,4,787.39,0.1,885.63,2834.6
ORD000059,2023-02-07,CUST0234,Stephanie Simon,West,Home Office,Food & Beverage,Snacks,12,561.64,0.05,1279.98,6402.7
ORD000060,2023-03-17,CUST0336,Rebecca Freeman,North,Consumer,Clothing,Pants,3,646.23,0.15,378.17,1647.89
ORD000061,2023-01-26,CUST0286,Bryan Simmons,South,Consumer,Clothing,Pants,13,379.74,0.1,1541.59,4442.96
ORD000062,2023-11-01,CUST0163,Joseph Richardson,West,Home Office,Food & Beverage,Juice,14,726.88,0.05,3135.19,9667.5
ORD000063,2023-09-01,CUST0231,David Flores,East,Consumer,Office Supplies,Binder,8,507.0,0.0,851.63,4056.0
ORD000064,2024-01-01,CUST0147,Denise Beltran,South,Corporate,Office Supplies,Stapler,15,439.02,0.0,906.85,6585.3
ORD000065,2023-07-16,CUST0356,Shawn Hines,South,Home Office,Furniture,Chair,7,334.97,0.1,456.84,2110.31
ORD000066,2023-02-01,CUST0106,Keith Jones,West,Corporate,Food & Beverage,Energy Drink,1,687.53,0.1,120.72,618.78
ORD000067,2023-01-04,CUST0483,Dean Reed,East,Corporate,Clothing,Shoes,9,601.8,0.1,1462.21,4874.58
ORD000068,2023-04-23,CUST0250,Francis Harvey,South,Corporate,Clothing,Shoes,1,320.25,0.15,73.44,272.21
ORD000069,2023-07-27,CUST0371,Sheri Landry,South,Corporate,Furniture,Table,9,36.17,0.05,76.69,309.25
ORD000070,2023-12-06,CUST0014,Traci Rose,North,Home Office,Clothing,Pants,14,377.43,0.0,872.07,5284.02
ORD000071,2023-06-17,CUST0109,Dominique Webb,West,Corporate,Office Supplies,Paper,5,605.33,0.05,468.87,2875.32
ORD000072,2023-02-11,CUST0241,Lisa Taylor,North,Home Office,Food & Beverage,Coffee,6,191.01,0.0,338.44,1146.06
ORD000073,2023-11-30,CUST0021,Zachary Hayes,North,Consumer,Furniture,Chair,10,134.62,0.0,294.0,1346.2
ORD000074,2023-02-28,CUST0289,George Neal,South,Corporate,Office Supplies,Stapler,3,490.63,0.15,349.8,1251.11
ORD000075,2023-03-25,CUST0494,Candice Allen,East,Consumer,Food & Beverage,Coffee,15,259.89,0.15,1083.57,3313.6
ORD000076,2023-07-12,CUST0204,David Armstrong,South,Consumer,Food & Beverage,Energy Drink,14,507.39,0.0,1948.47,7103.46
ORD000077,2023-06-04,CUST0436,Cody Russell,Central,Consumer,Food & Beverage,Coffee,6,433.21,0.15,425.62,2209.37
ORD000078,2023-09-17,CUST0332,Mckenzie Wells,East,Consumer,Clothing,Shoes,2,355.32,0.0,183.98,710.64
ORD000079,2023-08-24,CUST0363,Tanya Washington,South,Corporate,Furniture,Bookshelf,9,772.9,0.0,1766.7,6956.1
ORD000080,2023-10-03,CUST0397,Thomas Thomas,West,Corporate,Clothing,Tie,10,225.69,0.0,694.41,2256.9
ORD000081,2023-02-14,CUST0143,Stephanie Brown,West,Consumer,Clothing,Hat,10,539.53,0.0,578.24,5395.3
ORD000082,2023-06-16,CUST0094,Richard Martinez,West,Consumer,Office Supplies,Stapler,6,234.53,0.1,348.65,1266.46
ORD000083,2023-05-22,CUST0285,Jessica Morris,North,Home Office,Furniture,Chair,4,580.26,0.05,526.54,2204.99
ORD000084,2023-05-04,CUST0354,Thomas Sanchez,West,Home Office,Clothing,Shoes,13,28.54,0.0,57.66,371.02
ORD000085,2023-12-21,CUST0125,Jason Davis,East,Home Office,Food & Beverage,Water,8,449.48,0.0,742.09,3595.84
ORD000086,2023-10-09,CUST0170,Jonathan Stephens,East,Home Office,Clothing,Jacket,5,212.35,0.0,297.63,1061.75
ORD000087,2023-06-11,CUST0062,Colin Valentine,Central,Home Office,Furniture,Desk,4,594.8,0.0,668.9,2379.2
ORD000088,2023-09-26,CUST0306,Erica Allen,East,Consumer,Furniture,Cabinet,4,298.29,0.0,123.54,1193.16
ORD000089,2023-10-01,CUST0065,Kelsey Jones,East,Consumer,Electronics,Headphones,5,562.47,0.0,729.71,2812.35
ORD000090,2023-09-09,CUST0053,Samuel Boyd,North,Home Office,Office Supplies,Paper,8,360.77,0.0,985.26,2886.16
ORD000091,2023-05-10,CUST0482,Mary Mccormick,West,Consumer,Electronics,Monitor,8,73.15,0.15,135.11,497.42
ORD000092,2023-03-19,CUST0077,Stephanie Jones,Central,Corporate,Electronics,Mouse,2,453.09,0.05,216.58,860.87
ORD000093,2023-11-13,CUST0116,Jamie Vaughn DDS,Central,Corporate,Clothing,Shoes,5,690.23,0.05,578.16,3278.59
ORD000094,2023-11-14,CUST0031,Marie Watkins,Central,Home Office,Electronics,Webcam,4,506.03,0.0,536.61,2024.12
ORD000095,2023-03-22,CUST0123,Mrs. Nancy Sparks MD,South,Home Office,Electronics,Mouse,1,335.69,0.15,70.89,285.34
ORD000096,2023-05-30,CUST0017,Whitney Page,South,Corporate,Office Supplies,Folder,14,371.41,0.15,699.9,4419.78
ORD000097,2023-05-16,CUST0404,Dillon Mercer,Central,Home Office,Furniture,Sofa,2,442.48,0.15,103.24,752.22
ORD000098,2023-05-17,CUST0424,Robert Glass,South,Consumer,Electronics,Mouse,13,256.48,0.15,867.4,2834.1
ORD000099,2023-05-28,CUST0225,Andrew Smith,North,Corporate,Office Supplies,Folder,7,755.0,0.1,1117.76,4756.5
ORD000100,2023-08-13,CUST0042,Dale Harvey,Central,Consumer,Clothing,Tie,6,488.92,0.0,360.33,2933.52
ORD000101,2023-12-12,CUST0429,Felicia Cook,Central,Home Office,Electronics,Webcam,11,659.82,0.1,718.92,6532.22
ORD000102,2023-03-31,CUST0241,Lisa Taylor,Central,Home Office,Clothing,Jacket,3,797.6,0.05,588.06,2273.16
ORD000103,2023-09-09,CUST0497,Aaron Brown MD,North,Corporate,Office Supplies,Paper,6,267.03,0.0,503.78,1602.18
ORD000104,2023-06-18,CUST0211,Jeremiah Watson,West,Corporate,Clothing,Hat,1,372.04,0.0,60.68,372.04
ORD000105,2023-03-01,CUST0497,Aaron Brown MD,West,Home Office,Electronics,Tablet,14,440.94,0.05,665.92,5864.5
ORD000106,2023-09-23,CUST0186,Mark Li,Central,Corporate,Clothing,Shirt,4,224.64,0.0,298.25,898.56
ORD000107,2023-08-13,CUST0451,Maria Burgess,West,Consumer,Electronics,Tablet,10,642.46,0.15,762.31,5460.91
ORD000108,2023-10-10,CUST0008,Jake Simpson,Central,Corporate,Electronics,Mouse,14,731.65,0.05,3277.04,9730.94
ORD000109,2023-11-28,CUST0427,Matthew Holland,South,Corporate,Office Supplies,Binder,12,229.64,0.05,903.34,2617.9
ORD000110,2023-05-05,CUST0234,Stephanie Simon,Central,Consumer,Clothing,Pants,15,485.51,0.15,1979.84,6190.25
ORD000111,2023-02-05,CUST0142,Samantha Sanders,West,Corporate,Food & Beverage,Water,14,17.01,0.15,35.35,202.42
ORD000112,2023-10-28,CUST0297,Brian Strickland,West,Consumer,Clothing,Hat,8,285.92,0.1,598.48,2058.62
ORD000113,2023-07-13,CUST0234,Stephanie Simon,East,Consumer,Furniture,Table,7,198.35,0.05,146.3,1319.03
ORD000114,2023-08-31,CUST0362,Lauren Flynn,West,Corporate,Furniture,Sofa,1,114.1,0.1,18.79,102.69
ORD000115,2023-02-21,CUST0448,Mariah Hooper,West,Consumer,Food & Beverage,Juice,1,582.12,0.05,175.71,553.01
ORD000116,2023-03-21,CUST0039,Michelle Campbell,West,Corporate,Office Supplies,Binder,12,327.02,0.0,1228.06,3924.24
ORD000117,2023-12-12,CUST0440,Barbara Long,Central,Corporate,Office Supplies,Folder,12,711.64,0.05,2580.62,8112.7
ORD000118,2023-01-19,CUST0317,Stephanie Butler,North,Consumer,Office Supplies,Notebook,12,85.95,0.0,299.2,1031.4
ORD000119,2023-12-27,CUST0447,Justin Pitts,North,Corporate,Furniture,Bookshelf,5,724.19,0.0,655.73,3620.95
ORD000120,2023-01-29,CUST0151,Cindy Klein MD,East,Corporate,Clothing,Pants,4,431.97,0.1,420.57,1555.09
ORD000121,2023-04-03,CUST0088,Lori Lewis,South,Consumer,Food & Beverage,Juice,10,551.26,0.05,1718.81,5236.97
ORD000122,2023-03-15,CUST0119,Alexandra Cortez,West,Home Office,Office Supplies,Paper,5,538.47,0.05,832.04,2557.73
ORD000123,2023-12-13,CUST0280,Randy Johnson,South,Consumer,Clothing,Jacket,10,249.84,0.05,646.96,2373.48
ORD000124,2023-08-22,CUST0433,Brenda Phelps,East,Consumer,Clothing,Shoes,2,201.21,0.1,68.72,362.18
ORD000125,2023-06-01,CUST0359,Nicholas Hunter,East,Consumer,Clothing,Jacket,1,459.25,0.15,114.99,390.36
ORD000126,2023-01-26,CUST0467,Timothy Jones,Central,Home Office,Clothing,Jacket,13,642.11,0.1,2257.44,7512.69
ORD000127,2023-04-23,CUST0326,Heidi Francis,South,Home Office,Office Supplies,Folder,13,580.93,0.15,1734.58,6419.28
ORD000128,2023-03-12,CUST0322,Ronnie Wells,North,Home Office,Electronics,Keyboard,13,361.05,0.1,807.75,4224.29
ORD000129,2023-03-09,CUST0047,Travis Shelton,East,Corporate,Clothing,Pants,4,118.75,0.1,136.42,427.5
ORD000130,2023-07-07,CUST0272,Joshua Hernandez,Central,Corporate,Furniture,Cabinet,15,662.38,0.05,3226.66,9438.92
ORD000131,2023-06-01,CUST0383,Megan Wright,East,Consumer,Clothing,Shirt,3,607.01,0.0,573.69,1821.03
ORD000132,2023-12-12,CUST0204,David Armstrong,Central,Corporate,Electronics,Webcam,7,25.93,0.1,21.38,163.36
ORD000133,2023-07-08,CUST0345,Andrew Evans,East,Home Office,Clothing,Tie,6,100.05,0.0,130.79,600.3
ORD000134,2023-11-14,CUST0453,David Butler,Central,Corporate,Food & Beverage,Snacks,11,64.63,0.05,221.08,675.38
ORD000135,2023-06-04,CUST0333,Brian Brown,West,Consumer,Furniture,Chair,1,253.93,0.05,31.13,241.23
ORD000136,2023-05-01,CUST0455,Michelle Dickerson,Central,Consumer,Clothing,Shoes,6,541.33,0.15,756.79,2760.78
ORD000137,2023-10-04,CUST0215,Leonard Cameron,Central,Home Office,Furniture,Sofa,11,92.73,0.05,246.05,969.03
ORD000138,2023-05-24,CUST0017,Whitney Page,East,Consumer,Clothing,Shoes,4,686.53,0.0,948.05,2746.12
ORD000139,2023-07-08,CUST0279,Brittany Zuniga,East,Consumer,Clothing,Jacket,4,775.04,0.05,362.01,2945.15
ORD000140,2023-04-19,CUST0329,Lisa Carpenter,Central,Consumer,Electronics,Webcam,6,206.2,0.0,367.13,1237.2
ORD000141,2023-04-16,CUST0036,Adrian Rodriguez,Central,Consumer,Food & Beverage,Snacks,14,697.71,0.0,2867.79,9767.94
ORD000142,2023-11-02,CUST0002,Justin Walker,East,Consumer,Furniture,Table,5,641.83,0.0,851.27,3209.15
ORD000143,2023-01-14,CUST0068,Cameron Stout,North,Corporate,Furniture,Table,6,27.39,0.0,18.59,164.34
ORD000144,2023-08-04,CUST0270,Kevin Ortiz,North,Home Office,Electronics,Monitor,8,625.74,0.1,1119.2,4505.33
ORD000145,2023-08-20,CUST0258,Jesse Bell,South,Home Office,Electronics,Tablet,13,728.37,0.15,1854.07,8048.49
ORD000146,2023-08-23,CUST0330,Samantha Taylor,North,Consumer,Clothing,Shoes,7,553.59,0.05,1023.79,3681.37
ORD000147,2023-08-16,CUST0038,Kathleen Perez,North,Corporate,Food & Beverage,Snacks,2,114.06,0.1,53.03,205.31
ORD000148,2023-10-08,CUST0365,Robert Stokes,East,Corporate,Food & Beverage,Tea,5,371.17,0.1,346.66,1670.27
ORD000149,2023-12-26,CUST0059,Dakota Perez,Central,Home Office,Furniture,Sofa,8,712.15,0.05,999.84,5412.34
ORD000150,2023-08-21,CUST0205,Marvin Simpson,West,Home Office,Electronics,Keyboard,7,260.33,0.0,352.75,1822.31
ORD000151,2023-03-20,CUST0352,Sabrina Daniel,West,Consumer,Electronics,Webcam,2,88.19,0.0,50.47,176.38
ORD000152,2023-07-10,CUST0416,Joseph Rice,South,Home Office,Electronics,Headphones,9,455.92,0.15,455.36,3487.79
ORD000153,2023-07-01,CUST0448,Mariah Hooper,West,Home Office,Electronics,Keyboard,10,260.27,0.0,636.31,2602.7
ORD000154,2023-04-19,CUST0080,Michael Johnson,West,Consumer,Electronics,Keyboard,14,451.67,0.0,1837.9,6323.38
ORD000155,2023-10-21,CUST0116,Jamie Vaughn DDS,West,Home Office,Food & Beverage,Tea,11,519.52,0.0,1441.53,5714.72
ORD000156,2023-12-03,CUST0425,Dylan Murphy,East,Consumer,Furniture,Cabinet,12,613.49,0.0,1382.24,7361.88
ORD000157,2023-04-03,CUST0446,Jessica Hernandez,South,Home Office,Clothing,Shirt,3,596.66,0.0,220.06,1789.98
ORD000158,2023-09-29,CUST0111,Tracey Garner,West,Corporate,Clothing,Jacket,3,305.49,0.15,141.07,779.0
ORD000159,2023-10-18,CUST0306,Erica Allen,North,Consumer,Furniture,Desk,13,500.0,0.15,665.18,5525.0
ORD000160,2023-08-15,CUST0339,Kevin Graham,West,Corporate,Food & Beverage,Juice,7,229.44,0.1,185.68,1445.47
ORD000161,2023-08-09,CUST0057,Ethan Johnson,East,Home Office,Food & Beverage,Juice,9,538.7,0.0,752.11,4848.3
ORD000162,2023-11-03,CUST0029,Bradley Moody,North,Consumer,Office Supplies,Notebook,13,122.73,0.0,275.0,1595.49
ORD000163,2023-03-03,CUST0004,Mark Shaffer,West,Home Office,Clothing,Pants,3,313.46,0.15,125.92,799.32
ORD000164,2023-10-14,CUST0427,Matthew Holland,East,Consumer,Clothing,Tie,1,357.43,0.05,112.15,339.56
ORD000165,2023-06-10,CUST0295,Emily Savage,West,Home Office,Clothing,Tie,11,342.89,0.0,759.1,3771.79
ORD000166,2023-06-16,CUST0088,Lori Lewis,Central,Corporate,Office Supplies,Pen,7,677.92,0.0,991.41,4745.44
ORD000167,2023-07-25,CUST0269,Vernon Lewis,North,Corporate,Office Supplies,Folder,6,188.93,0.0,135.0,1133.58
ORD000168,2023-11-21,CUST0059,Dakota Perez,Central,Home Office,Furniture,Cabinet,6,585.99,0.15,907.8,2988.55
ORD000169,2023-05-01,CUST0053,Samuel Boyd,South,Corporate,Furniture,Desk,10,135.0,0.15,136.37,1147.5
ORD000170,2023-11-18,CUST0253,Elizabeth Zimmerman,West,Home Office,Food & Beverage,Juice,11,740.46,0.1,1911.43,7330.55
ORD000171,2023-11-16,CUST0166,Stephen Ramirez,East,Consumer,Clothing,Shirt,8,362.13,0.0,866.45,2897.04
ORD000172,2023-10-30,CUST0029,Bradley Moody,East,Home Office,Electronics,Keyboard,8,369.75,0.0,568.48,2958.0
ORD000173,2023-05-27,CUST0040,Sheila Patterson,North,Home Office,Food & Beverage,Tea,7,378.23,0.1,806.73,2382.85
ORD000174,2023-01-22,CUST0231,David Flores,Central,Home Office,Furniture,Cabinet,10,388.37,0.0,1318.25,3883.7
ORD000175,2023-08-19,CUST0053,Samuel Boyd,East,Home Office,Electronics,Headphones,11,150.46,0.0,458.3,1655.06
ORD000176,2023-08-13,CUST0269,Vernon Lewis,Central,Home Office,Furniture,Cabinet,6,735.58,0.05,847.75,4192.81
ORD000177,2023-06-23,CUST0348,John Williams,Central,Consumer,Office Supplies,Pen,6,89.19,0.15,89.45,454.87
ORD000178,2023-05-10,CUST0371,Sheri Landry,Central,Consumer,Office Supplies,Pen,10,535.94,0.0,951.6,5359.4
ORD000179,2023-12-02,CUST0358,Samuel Pennington,West,Consumer,Food & Beverage,Energy Drink,2,258.02,0.05,127.89,490.24
ORD000180,2023-06-18,CUST0417,Paul Lewis,South,Home Office,Food & Beverage,Coffee,11,541.31,0.1,1020.65,5358.97
ORD000181,2023-07-05,CUST0159,Richard Stanley,South,Consumer,Office Supplies,Paper,4,192.84,0.0,107.02,771.36
ORD000182,2023-06-01,CUST0433,Brenda Phelps,North,Home Office,Food & Beverage,Energy Drink,15,428.33,0.15,1005.91,5461.21
ORD000183,2023-11-13,CUST0068,Cameron Stout,Central,Corporate,Furniture,Desk,3,667.61,0.1,544.84,1802.55
ORD000184,2023-03-26,CUST0370,Crystal Richardson,West,Consumer,Clothing,Jacket,11,579.87,0.05,1530.96,6059.64
ORD000185,2023-08-18,CUST0120,Randy Kim,Central,Consumer,Office Supplies,Paper,15,670.56,0.0,2711.51,10058.4
ORD000186,2023-10-20,CUST0226,Michael Hughes,West,Corporate,Clothing,Hat,9,343.65,0.0,940.92,3092.85
ORD000187,2023-11-06,CUST0071,Bruce Boyer,East,Consumer,Clothing,Jacket,9,748.42,0.15,1783.31,5725.41
ORD000188,2023-03-05,CUST0146,Lori Potts,North,Consumer,Office Supplies,Paper,15,417.98,0.05,732.19,5956.22
ORD000189,2023-04-24,CUST0419,Michele Summers,West,Corporate,Electronics,Monitor,1,326.22,0.0,51.85,326.22
ORD000190,2023-02-11,CUST0192,Heather Anderson,South,Consumer,Office Supplies,Pen,14,576.04,0.0,2401.99,8064.56
ORD000191,2023-03-12,CUST0020,Latasha Morales,East,Corporate,Furniture,Bookshelf,8,367.15,0.0,958.89,2937.2
ORD000192,2023-01-10,CUST0132,Caroline Montgomery,South,Consumer,Food & Beverage,Energy Drink,10,429.3,0.0,1262.33,4293.0
ORD000193,2023-05-02,CUST0155,Taylor Morrow,North,Consumer,Furniture,Sofa,11,638.21,0.05,771.65,6669.29
ORD000194,2023-09-13,CUST0306,Erica Allen,Central,Consumer,Food & Beverage,Tea,4,579.06,0.0,480.18,2316.24
ORD000195,2023-11-11,CUST0181,Judith Johnson,South,Home Office,Clothing,Pants,11,539.55,0.1,1835.69,5341.54
ORD000196,2023-02-04,CUST0489,John Frederick,Central,Home Office,Food & Beverage,Tea,9,30.96,0.05,29.35,264.71
ORD000197,2023-07-18,CUST0192,Heather Anderson,East,Home Office,Electronics,Keyboard,13,68.03,0.0,250.49,884.39
ORD000198,2023-11-18,CUST0054,Sheila Smith,Central,Home Office,Office Supplies,Notebook,1,291.55,0.0,88.45,291.55
ORD000199,2023-03-31,CUST0426,Miguel Chase,West,Home Office,Clothing,Tie,3,652.03,0.0,545.77,1956.09
ORD000200,2023-08-23,CUST0019,Dale Johnson,East,Consumer,Electronics,Webcam,4,710.35,0.0,947.16,2841.4
ORD000201,2023-09-21,CUST0204,David Armstrong,Central,Corporate,Office Supplies,Pen,13,522.82,0.0,1286.22,6796.66
ORD000202,2023-01-25,CUST0444,Vanessa Brennan,East,Corporate,Electronics,Webcam,6,358.01,0.05,583.28,2040.66
ORD000203,2023-07-17,CUST0174,Veronica Larsen,South,Corporate,Clothing,Jacket,15,640.87,0.0,2886.67,9613.05
ORD000204,2023-08-06,CUST0041,David Schaefer,West,Home Office,Furniture,Table,5,267.15,0.0,243.08,1335.75
ORD000205,2023-06-01,CUST0157,Daniel Scott,West,Home Office,Clothing,Pants,12,363.47,0.05,458.23,4143.56
ORD000206,2023-06-30,CUST0315,Darius Ortega,West,Corporate,Electronics,Laptop,11,515.45,0.0,1294.29,5669.95
ORD000207,2023-12-14,CUST0082,Amanda Hoffman,North,Consumer,Food & Beverage,Energy Drink,13,358.97,0.0,545.1,4666.61
ORD000208,2023-11-27,CUST0188,Alyssa Henson,East,Corporate,Food & Beverage,Coffee,10,135.45,0.05,433.91,1286.78
ORD000209,2023-07-10,CUST0228,Mary Wright,North,Home Office,Furniture,Table,6,327.46,0.15,283.36,1670.05
ORD000210,2023-02-28,CUST0014,Traci Rose,South,Corporate,Food & Beverage,Juice,15,455.91,0.0,2008.79,6838.65
ORD000211,2023-12-27,CUST0229,Darlene Marshall,South,Home Office,Office Supplies,Folder,15,798.92,0.0,1565.8,11983.8
ORD000212,2023-02-07,CUST0232,Kevin Johnson,South,Home Office,Clothing,Shirt,13,550.31,0.0,1909.84,7154.03
ORD000213,2023-12-30,CUST0034,Laura Thomas,Central,Home Office,Office Supplies,Stapler,14,138.64,0.15,547.46,1649.82
ORD000214,2023-11-23,CUST0090,Nancy Moore,East,Home Office,Furniture,Chair,4,636.77,0.0,757.99,2547.08
ORD000215,2023-01-14,CUST0185,Micheal Raymond,Central,Home Office,Office Supplies,Paper,13,786.66,0.0,2587.19,10226.58
